datetime,is_holiday,day_sin,day_cos,week_sin,week_cos,Tod_1h,Power_1h,Temperature,Humidity,fourier_base_midnight
2025-07-05 15:00:00,1,-0.7071067811865471,-0.7071067811865479,-0.3302790619551673,0.9438833303083675,33.9675,0.0,31.1,65.0,
2025-07-05 16:00:00,1,-0.8660254037844384,-0.5000000000000004,-0.2947551744109047,0.9555728057861406,33.53694444444444,120.92999999999999,30.7,69.0,
2025-07-05 17:00:00,1,-0.9659258262890683,-0.25881904510252063,-0.2588190451025207,0.9659258262890683,33.71416666666667,67.057,31.1,68.0,
2025-07-05 18:00:00,1,-1.0,-1.8369701987210297e-16,-0.22252093395631464,0.9749279121818235,33.096805555555555,36.869,29.8,71.0,
2025-07-05 19:00:00,1,-0.9659258262890684,0.2588190451025203,-0.1859116071629151,0.9825664732332882,32.35527777777778,94.54,28.4,77.0,
2025-07-05 20:00:00,1,-0.8660254037844386,0.5000000000000001,-0.14904226617617528,0.9888308262251284,30.257638888888888,0.0,27.3,81.0,
2025-07-05 21:00:00,1,-0.7071067811865477,0.7071067811865474,-0.11196447610330898,0.9937122098932425,28.332083333333337,0.0,26.5,84.0,
2025-07-05 22:00:00,1,-0.5000000000000004,0.8660254037844384,-0.0747300935864239,0.9972037971811801,27.988888888888884,0.0,25.9,87.0,
2025-07-05 23:00:00,1,-0.25881904510252157,0.9659258262890681,-0.03739119427632557,0.9993007047883986,27.653611111111108,0.0,25.7,88.0,
2025-07-06 00:00:00,1,0.0,1.0,0.0,1.0,27.091250000000002,0.0,25.2,91.0,
2025-07-06 01:00:00,1,0.25881904510252074,0.9659258262890683,0.037391194276325625,0.9993007047883985,26.409861111111105,0.0,24.5,94.0,
2025-07-06 02:00:00,1,0.49999999999999994,0.8660254037844387,0.07473009358642425,0.9972037971811801,25.97569444444445,0.0,24.3,95.0,
2025-07-06 03:00:00,1,0.7071067811865475,0.7071067811865476,0.11196447610330786,0.9937122098932426,25.81638888888889,0.0,24.2,95.0,
2025-07-06 04:00:00,1,0.8660254037844386,0.5000000000000001,0.14904226617617444,0.9888308262251285,25.800000000000004,0.0,24.7,92.0,
2025-07-06 05:00:00,1,0.9659258262890683,0.25881904510252074,0.18591160716291458,0.9825664732332883,25.697916666666664,0.0,24.2,94.0,
2025-07-06 06:00:00,1,1.0,6.123233995736766e-17,0.2225209339563144,0.9749279121818236,25.26069444444445,0.0,24.0,95.0,
2025-07-06 07:00:00,1,0.9659258262890683,-0.25881904510252063,0.25881904510252074,0.9659258262890683,26.316805555555558,0.0,25.8,88.0,
2025-07-06 08:00:00,1,0.8660254037844387,-0.4999999999999998,0.2947551744109042,0.9555728057861407,28.021250000000002,0.0,27.5,78.0,
2025-07-06 09:00:00,1,0.7071067811865476,-0.7071067811865475,0.3302790619551671,0.9438833303083676,29.591527777777777,0.0,29.8,67.0,
2025-07-06 10:00:00,1,0.49999999999999994,-0.8660254037844387,0.365341024366395,0.9308737486442042,31.424027777777777,144.322,31.4,63.0,
2025-07-06 11:00:00,1,0.258819045102521,-0.9659258262890682,0.3998920243197409,0.9165622558699762,33.047222222222224,123.904,31.5,65.0,
